gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	WT_1_log2CPM	WT_2_log2CPM	WT_3_log2CPM	KO_1_log2CPM	KO_2_log2CPM	KO_3_log2CPM
Dusp18	1.0844	3.4726	20.81	3.87E-09	8.36E-07	11.767	2.9855	2.8984	2.9028	4.0306	4.0352	3.9831
Lilrb4	-1.3107	3.9844	-20.784	3.92E-09	8.36E-07	11.717	4.6058	4.751	4.5517	3.3307	3.3674	3.2999
Cd24a	-0.66443	6.3505	-20.705	4.06E-09	8.54E-07	11.462	6.7084	6.6525	6.6864	5.9958	6.0126	6.0477
Lilrb3	-0.86038	5.5645	-20.671	4.12E-09	8.56E-07	11.497	5.9591	6.0735	5.9483	5.1307	5.15	5.1254
Mettl15	-2.2572	1.4368	-20.59	4.27E-09	8.76E-07	11.216	2.6215	2.5722	2.4937	0.37077	0.29465	0.26804
Pim2	-0.7141	6.0855	-20.533	4.38E-09	8.87E-07	11.395	6.3978	6.4655	6.4654	5.7371	5.694	5.7535
Sirpb1c	-1.2682	3.771	-20.503	4.44E-09	8.87E-07	11.606	4.4554	4.435	4.3015	3.1603	3.0582	3.2157
Pycr1	-1.5072	2.9541	-20.446	4.55E-09	8.99E-07	11.62	3.7041	3.6883	3.7543	2.3411	2.0857	2.1512
Anxa3	0.88615	4.2166	20.415	4.61E-09	9.00E-07	11.514	3.7504	3.8223	3.7454	4.6893	4.6586	4.6337
Saa3	-1.6201	3.5367	-20.355	4.74E-09	9.13E-07	11.564	4.2451	4.4525	4.3419	2.7839	2.6075	2.7895
F11r	-0.88385	4.6388	-20.243	4.99E-09	9.39E-07	11.384	5.0336	5.1192	5.0871	4.1953	4.1482	4.2494
Plekha7	-1.53	2.6052	-20.241	4.99E-09	9.39E-07	11.512	3.341	3.3253	3.4737	1.8881	1.802	1.8011
Sema6d	-1.5371	2.2558	-20.152	5.20E-09	9.66E-07	11.429	3.0741	3.016	2.9769	1.5206	1.4953	1.4517
Nlgn2	-0.83254	4.9366	-19.955	5.68E-09	1.04E-06	11.211	5.3018	5.3465	5.4205	4.5265	4.5338	4.4906
Csf1r	-0.66712	6.264	-19.919	5.78E-09	1.05E-06	11.086	6.5844	6.6182	6.5902	5.9113	5.9792	5.9006
Ndrg1	-0.85431	5.9339	-19.887	5.86E-09	1.05E-06	11.092	6.3364	6.4161	6.3291	5.5614	5.4325	5.5277
Cyp11a1	-1.6295	3.9032	-19.844	5.98E-09	1.06E-06	11.293	4.6849	4.8637	4.5757	3.0564	3.0759	3.1628
Hdc	1.0642	3.4427	19.716	6.35E-09	1.11E-06	11.263	2.9411	2.9314	2.8498	4.0009	4.0078	3.9252
Rnf217	1.475	2.7878	19.028	8.77E-09	1.52E-06	10.967	2.1118	2.1465	1.8394	3.5448	3.5108	3.5736
Il2ra	1.5596	3.0208	18.989	8.94E-09	1.54E-06	10.946	2.3861	2.1465	2.1605	3.7227	3.86	3.849
H2-Q7	-1.0011	5.3534	-18.948	9.12E-09	1.55E-06	10.668	5.7598	5.8506	5.958	4.8367	4.8136	4.9019
Abca1	-1.6403	3.59	-18.925	9.22E-09	1.55E-06	10.877	4.5698	4.3471	4.2908	2.7722	2.7873	2.7728
Dhrs3	-0.69449	5.6729	-18.908	9.29E-09	1.55E-06	10.614	5.9706	6.0423	6.0481	5.2894	5.3358	5.3513
B4galt6	-1.2487	4.0543	-18.853	9.55E-09	1.57E-06	10.777	4.7882	4.6233	4.6275	3.5115	3.4409	3.3346
Tacstd2	0.76943	4.411	18.745	1.01E-08	1.64E-06	10.666	3.979	4.0419	4.068	4.8049	4.8004	4.7715
Samd9l	-0.86916	6.8795	-18.726	1.02E-08	1.64E-06	10.453	7.394	7.3165	7.228	6.4428	6.3951	6.5004
Kbtbd11	-0.8851	4.0903	-18.683	1.04E-08	1.65E-06	10.676	4.5928	4.5105	4.4837	3.6455	3.6294	3.6798
Socs3	-1.1479	3.6648	-18.616	1.07E-08	1.69E-06	10.701	4.2343	4.194	4.2969	3.1495	2.964	3.1499
Spry2	-2.7101	0.79117	-18.529	1.12E-08	1.75E-06	9.8503	2.1966	2.1502	2.0919	-0.5509	-0.43729	-0.70358
Scd2	-0.57726	10.832	-18.484	1.14E-08	1.76E-06	10.311	11.167	11.091	11.103	10.542	10.54	10.547
Ctss	-0.77243	6.2132	-18.482	1.14E-08	1.76E-06	10.354	6.5644	6.6851	6.5451	5.8079	5.8396	5.8368
Slc2a1	-0.74937	6.0286	-18.376	1.21E-08	1.83E-06	10.309	6.3496	6.421	6.4418	5.6935	5.5874	5.6782
4632428N05Rik	-0.58655	6.0153	-18.358	1.22E-08	1.83E-06	10.299	6.2879	6.3221	6.3171	5.7529	5.6983	5.7133
Ak1	1.7159	2.3998	18.31	1.25E-08	1.85E-06	10.606	1.4378	1.6013	1.6233	3.3307	3.2766	3.129
Bnip3	-1.3866	6.7097	-18.296	1.25E-08	1.85E-06	10.237	7.3652	7.5069	7.3344	6.1177	5.8272	6.1066
Tmem9	-1.1106	3.2478	-18.27	1.27E-08	1.86E-06	10.567	3.7351	3.8235	3.8694	2.7318	2.6553	2.6717
Enpp1	-0.721	5.1057	-18.184	1.33E-08	1.88E-06	10.286	5.5239	5.4178	5.4557	4.7572	4.7344	4.7452
Perp	0.60717	6.4147	18.168	1.34E-08	1.88E-06	10.175	6.0932	6.1475	6.0904	6.7013	6.6982	6.7577
Ankrd33b	1.081	3.2322	18.168	1.34E-08	1.88E-06	10.516	2.7718	2.6799	2.6012	3.8052	3.7444	3.7904
Pfkp	-0.65574	7.5052	-18.158	1.34E-08	1.88E-06	10.134	7.8059	7.8998	7.7931	7.2028	7.1572	7.172
Lpcat2	-2.0413	1.7849	-18.157	1.34E-08	1.88E-06	10.42	2.8149	2.8782	2.6687	0.68151	0.71158	0.95445
Rhoq	-0.75614	4.6962	-18.12	1.37E-08	1.90E-06	10.3	5.1238	5.0351	5.0631	4.3079	4.357	4.29
Dsp	-5.4917	0.35104	-18.001	1.45E-08	2.00E-06	7.1362	3.1733	3.092	3.0144	-2.208	-2.6389	-2.3265
Pisd-ps2	-0.62261	6.2014	-17.981	1.47E-08	2.00E-06	10.084	6.485	6.5431	6.5107	5.8728	5.9374	5.8596
Ctsl	-1.3441	4.1688	-17.962	1.48E-08	2.00E-06	10.3	4.7762	4.9945	4.737	3.5199	3.4646	3.5205
Prg2	-1.4328	2.7011	-17.949	1.49E-08	2.00E-06	10.438	3.3379	3.5087	3.3905	1.9307	1.9675	2.0713
Cdkn2a	2.6	0.77591	17.879	1.55E-08	2.05E-06	9.6267	-0.44252	-0.64597	-0.48254	2.0631	2.0278	2.1355
Camk1	0.72149	4.9769	17.842	1.58E-08	2.08E-06	10.117	4.5558	4.6206	4.6821	5.3254	5.3225	5.3547
H2-Q6	-0.68178	6.4601	-17.749	1.65E-08	2.15E-06	9.9428	6.726	6.8405	6.8379	6.1096	6.111	6.1357
Il13ra1	-2.199	1.7354	-17.742	1.66E-08	2.15E-06	10.195	2.725	2.9161	2.9108	0.75925	0.65386	0.44749
Il27ra	-1.0933	3.646	-17.704	1.69E-08	2.17E-06	10.225	4.1304	4.2289	4.2235	3.0233	3.2081	3.0617
Arrdc4	-1.2026	3.2223	-17.641	1.75E-08	2.23E-06	10.243	3.8552	3.8719	3.7207	2.5605	2.7242	2.6014
Frmd6	-1.2434	4.0733	-17.57	1.81E-08	2.29E-06	10.098	4.8214	4.6494	4.6031	3.4395	3.5446	3.3817
Ccdc90b	-1.7271	1.5947	-17.483	1.90E-08	2.36E-06	10.079	2.4708	2.5153	2.3776	0.74975	0.78868	0.66626
Gca	-1.2841	3.2802	-17.472	1.91E-08	2.36E-06	10.148	4.0116	3.9352	3.8109	2.705	2.6873	2.5315
Cx3cr1	-0.76179	5.0113	-17.471	1.91E-08	2.36E-06	9.9071	5.3926	5.4421	5.3319	4.5764	4.6711	4.654
Il18rap	-0.66661	7.4177	-17.436	1.94E-08	2.38E-06	9.7357	7.8104	7.7528	7.6886	7.0785	7.0517	7.1243
Elane	-0.83258	5.7828	-17.416	1.96E-08	2.39E-06	9.8019	6.1939	6.1294	6.2776	5.3783	5.2939	5.4238
P2ry14	-0.78679	4.4735	-17.381	2.00E-08	2.41E-06	9.9258	4.8861	4.8436	4.8637	4.0029	4.1229	4.1217
Phldb2	-4.5349	0.19081	-17.347	2.04E-08	2.43E-06	7.5239	2.4217	2.468	2.5561	-1.821	-2.1535	-2.3265
Mdfic	-6.8031	0.21681	-17.335	2.05E-08	2.43E-06	5.5625	3.6119	3.5743	3.5498	-3.793	-3.1953	-2.4468
P2ry10	-0.72547	4.8017	-17.326	2.06E-08	2.43E-06	9.8505	5.2135	5.1621	5.1133	4.4421	4.4792	4.3998
Nfic	0.91937	5.6297	17.241	2.15E-08	2.50E-06	9.7194	5.2266	5.0351	5.2587	6.0867	6.082	6.0888
Raf1	0.54837	7.5751	17.241	2.15E-08	2.50E-06	9.6236	7.279	7.3399	7.2834	7.8466	7.8784	7.8233
Acot11	-0.67663	4.8578	-17.127	2.29E-08	2.63E-06	9.7308	5.1852	5.2001	5.2078	4.5161	4.5748	4.4627
Pde3b	-1.3073	3.3499	-17.118	2.30E-08	2.63E-06	9.9484	4.094	3.9177	3.9797	2.6803	2.5953	2.8322
Il1r1	-0.77282	5.949	-16.99	2.46E-08	2.79E-06	9.5459	6.432	6.302	6.2667	5.5651	5.5467	5.5816
Tbc1d16	-1.1973	3.1873	-16.867	2.63E-08	2.96E-06	9.8253	3.8885	3.7538	3.6955	2.6294	2.5326	2.624
Mrc2	-1.442	2.624	-16.805	2.72E-08	3.04E-06	9.8404	3.3363	3.247	3.4898	1.9475	1.8644	1.8594
Cog2	-0.55027	5.2433	-16.734	2.82E-08	3.14E-06	9.4581	5.5174	5.5194	5.5165	4.9482	4.966	4.9922
B3gnt5	-0.72102	5.9852	-16.659	2.94E-08	3.25E-06	9.3501	6.4187	6.3517	6.2597	5.6005	5.6344	5.6464
Tcp11l1	-1.4252	1.8132	-16.641	2.97E-08	3.26E-06	9.7209	2.5264	2.5124	2.5408	1.1396	1.0164	1.1434
Gm15987	-0.76787	3.9305	-16.611	3.02E-08	3.29E-06	9.5668	4.3398	4.3216	4.2677	3.5087	3.5525	3.5928
Egln3	-0.75088	8.3717	-16.589	3.05E-08	3.30E-06	9.2396	8.716	8.8155	8.71	8.0234	7.9108	8.0548
Rsad2	-1.0112	3.4823	-16.563	3.10E-08	3.31E-06	9.6116	4.0462	3.9706	3.9529	3.0774	2.9544	2.8923
Mt2	-1.091	6.4984	-16.562	3.10E-08	3.31E-06	9.2652	6.9806	6.9767	7.1785	6.0098	5.8272	6.0174
Rras2	-1.2359	2.6692	-16.455	3.28E-08	3.48E-06	9.6429	3.3549	3.3103	3.1655	2.0243	2.0944	2.0658
Armcx2	0.59025	4.7652	16.432	3.33E-08	3.50E-06	9.3392	4.4796	4.4892	4.4348	5.0547	5.0651	5.0675
Sirpb1a	-1.3435	1.8712	-16.423	3.34E-08	3.50E-06	9.6156	2.5127	2.544	2.5814	1.1896	1.2051	1.1945
Fgr	-1.4868	2.7002	-16.401	3.39E-08	3.52E-06	9.6143	3.4558	3.5203	3.3675	2.1378	1.9388	1.7812
Nbas	0.55639	5.7186	16.376	3.43E-08	3.52E-06	9.203	5.4624	5.4186	5.4399	5.9702	6.0348	5.9858
Cd79b	-1.454	2.9881	-16.374	3.44E-08	3.52E-06	9.5754	3.6437	3.8685	3.6147	2.2797	2.2467	2.2752
Tmem161b	0.664	4.5906	16.348	3.48E-08	3.55E-06	9.3144	4.2368	4.276	4.263	4.8824	4.9678	4.9172
Tanc1	-2.6129	1.1471	-16.29	3.60E-08	3.63E-06	9.2236	2.5957	2.3589	2.423	0.037962	-0.24935	-0.28387
P4ha1	-1.0857	6.0672	-16.286	3.61E-08	3.63E-06	9.1268	6.5858	6.6904	6.5486	5.5926	5.3604	5.6256
Clec4a1	-1.2054	3.6856	-16.179	3.83E-08	3.83E-06	9.3639	4.1962	4.4071	4.2426	3.0014	3.0933	3.173
Rcor2	-0.72164	3.7857	-16.132	3.93E-08	3.91E-06	9.3081	4.1295	4.1665	4.1479	3.4528	3.4185	3.3992
Adam8	-0.73026	5.7214	-16.004	4.22E-08	4.17E-06	8.9782	6.0129	6.1783	6.0683	5.3744	5.3509	5.3434
Klhl30	-1.9141	1.5488	-15.947	4.36E-08	4.28E-06	9.2912	2.4276	2.6404	2.4451	0.58873	0.67722	0.51345
Id2	-0.92918	3.333	-15.937	4.39E-08	4.28E-06	9.2655	3.8088	3.8199	3.7521	2.9085	2.7766	2.932
Ankrd37	-1.4926	3.3696	-15.9	4.48E-08	4.34E-06	9.2549	4.0184	4.2803	4.0264	2.632	2.5358	2.7249
Naa16	0.57813	5.9126	15.869	4.56E-08	4.38E-06	8.88	5.6542	5.6011	5.615	6.1857	6.2555	6.1642
Lrrc42	-0.96646	3.5523	-15.864	4.57E-08	4.38E-06	9.1894	3.9969	4.1195	3.9721	3.0564	3.0244	3.1447
Snora2b	1.5988	1.6817	15.85	4.61E-08	4.39E-06	9.277	0.8943	0.82171	0.94032	2.3999	2.5674	2.4663
Cdkn1b	-0.48872	5.9613	-15.831	4.66E-08	4.41E-06	8.851	6.2233	6.2144	6.1769	5.711	5.723	5.719
Poc1b	-0.70803	4.4545	-15.806	4.73E-08	4.45E-06	9.0067	4.7606	4.8688	4.7921	4.0703	4.1229	4.1124
Ccng1	0.60088	7.6799	15.77	4.83E-08	4.51E-06	8.7464	7.4575	7.346	7.3337	7.9595	7.9846	7.9982
Fmnl2	-1.3113	2.9259	-15.759	4.85E-08	4.51E-06	9.2221	3.7125	3.5261	3.4844	2.3188	2.2151	2.2988
Lgals9	0.58146	6.8726	15.751	4.88E-08	4.51E-06	8.7525	6.5499	6.6544	6.5387	7.1511	7.1639	7.1774
Nostrin	1.8611	1.6098	15.694	5.04E-08	4.63E-06	9.172	0.42904	0.75437	0.92464	2.5136	2.5422	2.4952
Gpr174	-1.2901	4.0289	-15.678	5.09E-08	4.63E-06	9.0121	4.8219	4.6227	4.5682	3.3839	3.5076	3.2692
Cd74	-1.6078	4.5495	-15.664	5.13E-08	4.63E-06	8.9343	5.163	5.5633	5.3274	3.6884	3.7813	3.7736
H2-Aa	-1.9296	2.6064	-15.662	5.13E-08	4.63E-06	9.2048	3.4601	3.7758	3.4656	1.669	1.6801	1.5881
Large	0.98795	3.0622	15.643	5.19E-08	4.66E-06	9.1298	2.6593	2.5094	2.5253	3.5947	3.5205	3.5639
Pisd-ps1	-0.64682	8.2015	-15.631	5.23E-08	4.66E-06	8.656	8.4451	8.5864	8.5432	7.8644	7.9237	7.8461
Itgb7	-0.71157	5.626	-15.622	5.25E-08	4.66E-06	8.7508	5.8862	6.0347	6.0276	5.2516	5.2725	5.2832
Rbms1	-0.53263	5.7925	-15.574	5.40E-08	4.76E-06	8.7047	6.101	6.0536	6.0188	5.5201	5.544	5.5177
Tbc1d19	-0.94143	3.1632	-15.559	5.45E-08	4.76E-06	9.0635	3.6992	3.6061	3.595	2.7533	2.6758	2.6499
Ptpn3	-3.103	1.3731	-15.557	5.45E-08	4.76E-06	8.8853	2.9914	2.9594	2.8704	0.3831	-0.62457	-0.34101
Gas2l1	1.3109	2.3516	15.453	5.79E-08	5.03E-06	9.0873	1.8093	1.5624	1.7081	2.9588	3.0038	3.0672
Smo	-0.48402	5.8439	-15.403	5.97E-08	5.15E-06	8.5923	6.0918	6.0705	6.0952	5.5985	5.5797	5.6279
Cd97	0.49085	5.9168	15.343	6.18E-08	5.28E-06	8.5494	5.6842	5.6532	5.6778	6.1519	6.1931	6.1409
Clec2i	-0.49066	5.9228	-15.338	6.20E-08	5.28E-06	8.5444	6.189	6.1832	6.1294	5.6782	5.6835	5.6733
F13a1	-0.60141	9.8535	-15.329	6.23E-08	5.28E-06	8.4665	10.195	10.195	10.074	9.5714	9.5208	9.5659
Cnst	0.58618	5.2646	15.323	6.25E-08	5.28E-06	8.599	4.9342	5.0193	4.9582	5.5208	5.5789	5.5763
Papss2	-0.66164	4.9913	-15.261	6.49E-08	5.44E-06	8.5912	5.3783	5.2472	5.343	4.6585	4.666	4.6549
Bmf	-0.72969	4.078	-15.257	6.50E-08	5.44E-06	8.725	4.4147	4.4951	4.4068	3.6671	3.7221	3.7618
9030625A04Rik	-0.79294	3.3943	-15.21	6.69E-08	5.55E-06	8.81	3.7816	3.755	3.8404	2.9629	2.9945	3.031
Ighm	-0.72923	6.3529	-15.198	6.73E-08	5.55E-06	8.4278	6.637	6.8125	6.7046	6.0376	5.9759	5.9498
Il4ra	-0.50108	6.4455	-15.191	6.76E-08	5.55E-06	8.4167	6.7028	6.6641	6.7222	6.1654	6.2313	6.1871
Tnfsf9	-2.2988	0.74132	-15.187	6.78E-08	5.55E-06	8.5459	1.8003	1.8883	1.975	-0.5509	-0.4626	-0.20218
P2rx4	-0.46217	6.6792	-15.078	7.23E-08	5.89E-06	8.332	6.878	6.9355	6.9181	6.4629	6.4472	6.4333
Myadm	-0.46504	6.3237	-15.049	7.35E-08	5.94E-06	8.3319	6.5857	6.5549	6.5264	6.0877	6.1035	6.0841
Bhlhe40	-0.89662	5.0312	-15.046	7.37E-08	5.94E-06	8.4529	5.4914	5.5227	5.4184	4.6762	4.443	4.6356
Capn2	-1.4717	1.9445	-14.984	7.65E-08	6.13E-06	8.8145	2.7369	2.6902	2.6111	1.3739	1.0704	1.1845
Mob3b	-3.2862	0.72984	-14.968	7.72E-08	6.16E-06	8.1929	2.4679	2.3846	2.2513	-1.1184	-0.36391	-1.2424
Kif1c	-1.1287	2.7275	-14.954	7.79E-08	6.16E-06	8.7527	3.3032	3.254	3.3143	2.1948	2.0141	2.2847
